CODE	DESCRIPTION	CATEGORY
M1A	OFFICE VISITS - NEW	EVALUATION AND MANAGEMENT
M1B	OFFICE VISITS - ESTABLISHED	EVALUATION AND MANAGEMENT
M2A	HOSPITAL VISIT - INITIAL	EVALUATION AND MANAGEMENT
M2B	HOSPITAL VISIT - SUBSEQUENT	EVALUATION AND MANAGEMENT
M2C	HOSPITAL VISIT - CRITICAL CARE	EVALUATION AND MANAGEMENT
M3	EMERGENCY ROOM VISIT	EVALUATION AND MANAGEMENT
M4A	HOME VISIT	EVALUATION AND MANAGEMENT
M4B	NURSING HOME VISIT	EVALUATION AND MANAGEMENT
M5A	SPECIALIST - PATHOLOGY	EVALUATION AND MANAGEMENT
M5B	SPECIALIST - PSYCHIATRY	EVALUATION AND MANAGEMENT
M5C	SPECIALIST - OPHTHALMOLOGY	EVALUATION AND MANAGEMENT
M5D	SPECIALIST - OTHER	EVALUATION AND MANAGEMENT
M6	CONSULTATIONS	EVALUATION AND MANAGEMENT
P0	ANESTHESIA	PROCEDURES
P1A	MAJOR PROCEDURE - BREAST	PROCEDURES
P1B	MAJOR PROCEDURE - COLECTOMY	PROCEDURES
P1C	MAJOR PROCEDURE - CHOLECYSTECTOMY	PROCEDURES
P1D	MAJOR PROCEDURE - TURP	PROCEDURES
P1E	MAJOR PROCEDURE - HYSTERECTOMY                                  PROCEDURES
P1F	MAJOR PROCEDURE - EXPLOR/DECOMPR/EXCISDISC                      PROCEDURES
P1G	MAJOR PROCEDURE - OTHER                                         PROCEDURES
P2A	MAJOR PROCEDURE, CARDIOVASCULAR - CABG                          PROCEDURES
P2B	MAJOR PROCEDURE, CARDIOVASCULAR - ANEURYSM REPAIR               PROCEDURES
P2C	MAJOR PROCEDURE, CARDIOVASCULAR - THROMBOENDARTERECTOMY         PROCEDURES
P2D	MAJOR PROCEDURE, CARDIOVASCULAR - CORONARY ANGIOOPLASTY(PTCA)   PROCEDURES
P2E	MAJOR PROCEDURE, CARDIOVASCULAR - PACEMAKER INSERTION           PROCEDURES
P2F	MAJOR PROCEDURE, CARDIOVASCULAR - OTHER                         PROCEDURES
P3A	MAJOR PROCEDURE, ORTHOPEDIC - HIP FRACTURE REPAIR               PROCEDURES
P3B	MAJOR PROCEDURE, ORTHOPEDIC - HIP REPLACEMENT                   PROCEDURES
P3C	MAJOR PROCEDURE, ORTHOPEDIC - KNEE REPLACEMENT                  PROCEDURES
P3D 	MAJOR PROCEDURE, ORTHOPEDIC - OTHER                             PROCEDURES
P4A	EYE PROCEDURE - CORNEAL TRANSPLANT                              PROCEDURES
P4B 	EYE PROCEDURE - CATARACT REMOVAL/LENS INSERTION                 PROCEDURES
P4C 	EYE PROCEDURE - RETINAL DETACHMENT                              PROCEDURES
P4D 	EYE PROCEDURE - TREATMENT OF RETINAL LESIONS                    PROCEDURES
P4E 	EYE PROCEDURE - OTHER                                           PROCEDURES
P5A 	AMBULATORY PROCEDURES - SKIN                                    PROCEDURES
P5B 	AMBULATORY PROCEDURES - MUSCULOSKELETAL                         PROCEDURES
P5C 	AMBULATORY PROCEDURES - INGUINAL HERNIA REPAIR                  PROCEDURES
P5D 	AMBULATORY PROCEDURES - LITHOTRIPSY                             PROCEDURES
